age;semaine;anxiete;anxiete_inf;anxiete_sup;depression;depression_inf;depression_sup;pbsommeil;pbsommeil_inf;pbsommeil_sup;hyg4mes;hyg4mes_inf;hyg4mes_sup;dist3mes;dist3mes_inf;dist3mes_sup;nbmoy7mes;nbmoy7mes_inf;nbmoy7mes_sup;nbmoy4mesHyg;nbmoy4mesHyg_inf;nbmoy4mesHyg_sup;dist1m;dist1m_inf;dist1m_sup;portmasque;portmasque_inf;portmasque_sup;;;
18-24 ans;Vague 1 : 23-25 mars;33,1;26,8;40,0;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-34 ans;Vague 1 : 23-25 mars;37,5;32,2;43,1;;;;;;;;;;;;;;;;;;;;;;;;;;;
35-49 ans;Vague 1 : 23-25 mars;32,0;28,1;36,2;;;;;;;;;;;;;;;;;;;;;;;;;;;
50-64 ans;Vague 1 : 23-25 mars;21,4;18,0;25,2;;;;;;;;;;;;;;;;;;;;;;;;;;;
65 ans et plus;Vague 1 : 23-25 mars;17,0;13,9;20,7;;;;;;;;;;;;;;;;;;;;;;;;;;;
18-24 ans;Vague 2 : 30 mars-1 avr;22,5;16,8;29,5;16,5;11,7;22,9;68,5;61,1;75,0;38,0;31,0;45,6;55,9;48,4;63,2;5,13;4,84;5,42;2,80;2,62;2,99;;;;13,7;9,3;19,9;;;
25-34 ans;Vague 2 : 30 mars-1 avr;25,9;21,2;31,3;23,5;19,0;28,8;64,6;58,9;69,9;48,5;42,8;54,2;66,6;61,0;71,8;5,53;5,33;5,74;3,06;2,93;3,20;;;;13,6;10,1;18,1;;;
35-49 ans;Vague 2 : 30 mars-1 avr;25,0;21,5;28,9;23,7;20,2;27,5;68,4;54,3;72,2;49,9;45,6;54,2;68,9;64,9;72,7;5,60;5,46;5,75;3,08;2,98;3,18;;;;18,2;15,1;21,8;;;
50-64 ans;Vague 2 : 30 mars-1 avr;18,4;15,3;21,9;19,5;16,3;23,1;56,5;52,2;60,7;54,4;50,1;58,6;70,9;66,8;74,7;5,77;5,63;5,90;3,19;3,10;3,28;;;;15,2;12,4;18,6;;;
65 ans et plus;Vague 2 : 30 mars-1 avr;17,7;14,6;21,4;15,3;12,3;18,8;53,6;49,1;58,1;51,3;46,9;55,8;79,7;75,9;83,1;5,91;5,78;6,03;3,18;3,08;3,27;;;;13,4;10,6;16,7;;;
18-24 ans;Vague 3 : 14-16 avr;24,2;18,4;31,2;21,7;16,0;28,7;70,6;63,3;76,9;40,3;33,2;47,8;64,6;57,0;71,4;5,31;5,05;5,57;2,84;2,66;3,02;;;;23,1;17,5;29,8;;;
25-34 ans;Vague 3 : 14-16 avr;20,3;16,2;25,1;20,1;16,1;24,9;68,3;62,9;73,2;44,8;39,4;50,4;54,3;48,7;59,7;5,14;4,93;5,36;2,88;2,74;3,02;;;;22,5;18,2;27,5;;;
35-49 ans;Vague 3 : 14-16 avr;20,6;17,3;24,5;18,7;15,5;22,4;67,0;62,7;71,0;48,9;44,5;53,3;61,4;57,0;65,6;5,41;5,25;5,57;3,00;2,89;3,11;;;;23,2;19,6;27,1;;;
50-64 ans;Vague 3 : 14-16 avr;16,0;13,1;29,4;18,9;15,7;22,5;63,1;58,8;67,2;48,4;44,1;52,7;66,4;62,3;70,4;5,59;5,45;5,73;3,09;2,99;3,18;;;;23,9;20,4;27,8;;;
65 ans et plus;Vague 3 : 14-16 avr;13,8;11,0;17,1;11,7;9,1;14,8;54,7;50,3;59,1;46,8;42,5;51,2;75,5;71,5;79,0;5,71;5,58;5,84;3,03;2,93;3,13;;;;26,2;22,5;30,3;;;
18-24 ans;Vague 4 : 20-22 avr;28,2;22,0;35,4;22,9;17,2;29,8;73,4;66,4;79,4;34,1;27,5;41,4;46,9;39,6;54,3;4,74;4,45;5,03;2,62;2,42;2,81;;;;28,0;21,9;35,0;;;
25-34 ans;Vague 4 : 20-22 avr;18,6;14,7;23,4;21,3;17,2;26,2;72,0;66,8;76,7;39,5;34,3;45,1;52,3;46,8;57,8;5,11;4,90;5,31;2,87;2,74;3,00;;;;19,9;15,9;24,7;;;
35-49 ans;Vague 4 : 20-22 avr;20,8;17,5;24,7;20,1;16,8;23,9;67,4;63,2;71,4;49,1;44,8;53,5;63,1;58,7;67,2;5,43;5,27;5,60;3,04;2,93;3,14;;;;25,3;21,7;29,3;;;
50-64 ans;Vague 4 : 20-22 avr;15,9;12,9;19,3;20,5;17,2;24,2;64,3;60,0;68,4;48,5;44,1;52,9;67,2;62,9;71,2;5,53;5,38;5,69;3,02;2,92;3,13;;;;26,1;22,5;30,2;;;
65 ans et plus;Vague 4 : 20-22 avr;16,1;13,1;19,7;19,0;15,7;22,8;62,6;58,2;66,9;48,9;44,4;53,4;72,8;68,6;76,6;5,72;5,58;5,86;3,09;2,99;3,19;;;;36,5;32,3;41,0;;;
18-24 ans;Vague 5 : 28-30 avr;26,4;20,4;33,3;28,9;22,8;36,0;79,9;73,4;85,2;39,4;32,6;46,7;54,4;47,1;61,6;4,98;4,68;5,28;2,72;2,52;2,91;;;;36,4;29,7;43,8;;;
25-34 ans;Vague 5 : 28-30 avr;22,6;18,0;28,1;21,5;16,9;37,0;72,2;66,5;77,2;33,0;27,6;38,8;50,5;44,6;56,5;4,84;4,60;5,07;2,64;2,49;2,79;;;;24,2;19,5;29,7;;;
35-49 ans;Vague 5 : 28-30 avr;21,3;17,9;25,1;23,1;19,6;26,9;67,2;63,1;71,2;44,6;40,3;48,9;54,9;50,5;59,1;5,20;5,04;5,37;2,92;2,81;3,02;;;;27,5;23,8;31,4;;;
50-64 ans;Vague 5 : 28-30 avr;14,0;11,3;17,3;16,9;13,8;20,4;66,0;61,7;70,0;48,0;43,7;52,3;62,7;58,5;66,8;5,47;5,32;5,62;3,03;2,93;3,13;;;;31,1;27,2;35,3;;;
65 ans et plus;Vague 5 : 28-30 avr;12,5;9,8;15,7;12,3;9,7;15,5;55,0;50,5;59,4;45,0;40,6;49,5;72,2;68,0;76,0;5,66;5,52;5,79;3,03;2,94;3,13;;;;44,8;40,4;49,3;;;
18-24 ans;Vague 6 : 4-6 mai;24,8;18,8;32,1;24,6;18,5;31,8;73,5;66,3;79,7;40,4;33,2;48,1;50,2;42,6;57,8;4,98;4,70;5,27;2,79;2,60;2,98;;;;34,4;27,6;42,0;;;
25-34 ans;Vague 6 : 4-6 mai;20,3;16,2;25,1;20,1;16,1;24,9;72,7;67,5;77,3;44,0;38,6;49,5;53,5;47,9;59,0;5,18;4,97;5,39;2,95;2,82;3,08;;;;33,4;28,4;38,8;;;
35-49 ans;Vague 6 : 4-6 mai;20,6;17,3;24,3;19,3;16,0;22,9;71,1;67,0;74,8;46,9;42,6;51,2;54,8;50,5;59,1;5,22;5,05;5,39;2,97;2,86;3,08;;;;35,1;31,1;39,4;;;
50-64 ans;Vague 6 : 4-6 mai;16,0;13,1;19,4;17,5;14,5;21,0;62,8;58,6;66,8;48,2;44,0;52,5;57,8;53,5;61,9;5,29;5,12;5,45;2,95;2,84;3,06;;;;38,3;34,2;42,5;;;
65 ans et plus;Vague 6 : 4-6 mai;14,6;11,7;18,1;15,5;12,5;19,1;57,4;52,9;61,8;39,8;35,4;44,3;64,9;60,5;69,1;5,39;5,24;5,54;2,90;2,79;3,00;;;;48,7;44,2;53,2;;;
18-24 ans;Vague 7 : 13-15 mai;23,1;17,3;30,0;20,1;14,8;26,8;69,0;61,3;69,0;36,1;29,2;43,8;;;;;;;2,70;2,51;2,89;63,3;55,7;70,4;42,7;35,4;50,3;;;
25-34 ans;Vague 7 : 13-15 mai;22,0;17,3;27,6;11,5;8,2;15,8;72,0;66,2;72,0;37,3;31,5;43,4;;;;;;;2,72;2,56;2,88;57,1;50,9;63,1;41,5;35,6;47,8;;;
