sexe;semaine;anxiete;anxiete_inf;anxiete_sup;depression;depression_inf;depression_sup;pbsommeil;pbsommeil_inf;pbsommeil_sup;hyg4mes;hyg4mes_inf;hyg4mes_sup;dist3mes;dist3mes_inf;dist3mes_sup;nbmoy7mes;nbmoy7mes_inf;nbmoy7mes_sup;nbmoy4mesHyg;nbmoy4mesHyg_inf;nbmoy4mesHyg_sup;dist1m;dist1m_inf;dist1m_sup;portmasque;portmasque_inf;portmasque_sup;;;
Homme;Vague 1 : 23-25 mars;21,3;18,9;24,1;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femme;Vague 1 : 23-25 mars;31,6;28,9;34,5;;;;;;;;;;;;;;;;;;;;;;;;;;;
Homme;Vague 2 : 30 mars-1 avr;16,6;14,4;19,1;18,5;16,2;21,1;54,2;51,0;57,4;41,5;38,4;44,7;65,7;62,6;68,7;5,35;5,24;5,47;2,88;2,80;2,95;;;;14,2;12,1;16,6;;;
Femme;Vague 2 : 30 mars-1 avr;26,0;23,4;28,7;21,1;18,7;23,7;67,8;64,8;70,6;57,6;54,6;60,6;74,5;71,8;77,1;5,94;5,85;6,03;3,30;3,24;3,36;;;;16,0;13,9;18,3;;;
Homme;Vague 3 : 14-16 avr;14,4;12,3;16,8;15,3;13,1;17,7;57,2;54,0;60,3;38,0;34,9;41,1;59,2;56,0;62,3;5,12;5,01;5,24;2,75;2,67;2,83;;;;20,0;17,6;22,7;;;
Femme;Vague 3 : 14-16 avr;21,5;19,1;24,1;19,7;17,4;22,3;69,5;66,7;72,3;54,8;51,7;57,8;70,7;67,8;73,4;5,79;5,70;5,89;3,21;3,15;3,28;;;;27,5;24,9;30,3;;;
Homme;Vague 4 : 20-22 avr;13,6;11,5;16,0;17,6;15,3;20,2;60,6;57,5;63,7;40,2;37,0;43,3;58,7;55,5;61,8;5,12;5,00;5,25;2,80;2,72;2,88;;;;22,5;19,9;25,3;;;
Femme;Vague 4 : 20-22 avr;23,7;21,2;26,4;23,0;20,5;25,6;72,4;69,6;75,1;51,1;48,1;54,2;67,1;64,2;70,0;5,66;5,56;5,76;3,14;3,07;3,20;;;;32,3;29,5;35,2;;;
Homme;Vague 5 : 28-30 avr;14,7;12,5;17,3;18,0;15,5;20,7;59,5;56,3;62,7;35,5;32,4;38,7;54,5;51,2;57,7;4,99;4,87;5,12;2,72;2,63;2,80;;;;30,5;27,6;33,7;;;
Femme;Vague 5 : 28-30 avr;21,2;18,8;23,8;20,5;18,2;23,1;72,0;69,2;74,6;50,2;47,2;53,2;65,5;62,6;68,3;5,58;5,47;5,68;3,09;3,02;3,16;;;;35,1;32,3;38,0;;;
Homme;Vague 6 : 4-6 mai;15,1;12,9;17,6;15,7;13,5;18,2;60,4;57,2;63,5;35,3;32,3;38,5;53,3;50,1;56,5;4,90;4,77;5,03;2,68;2,60;2,76;;;;37,0;33,9;40,1;;;
