fra;semaine;anxiete;anxiete_inf;anxiete_sup;depression;depression_inf;depression_sup;pbsommeil;pbsommeil_inf;pbsommeil_sup;ps12mois;ps12mois_inf;ps12mois_sup
fr;Vague 1 : 23-25 mars;26,7;24,8;28,7;;;;;;;;;
fr;Vague 2 : 30 mars-1 avr;21,5;19,8;23,4;19,9;18,2;21,7;61,3;59,1;63,4;;;
fr;Vague 3 : 14-16 avr;18,1;16,5;19,9;17,6;16,0;19,4;63,7;61,5;65,7;;;
fr;Vague 4 : 20-22 avr;18,9;17,2;20,7;20,4;18,7;22,3;66,8;64,7;68,9;;;
fr;Vague 5 : 28-30 avr;18,1;16,4;19,9;19,3;17,6;21,1;66,1;63,9;68,1;;;
fr;Vague 6 : 4-6 mai;18,4;16,7;20,2;18,6;16,9;20,4;66,2;64,1;68,3;;;
fr;Vague 7 : 13-15 mai;17,6;15,9;19,4;14,1;12,6;15,8;67,2;65,0;69,3;;;
fr;Vague 8 : 18-20 mai;16,9;15,3;18,7;12,1;10,7;13,6;62,8;60,6;65,0;;;
fr;Vague 9 : 27-29 mai;16,5;14,9;18,2;12,3;10,9;13,8;66,2;64,1;68,3;;;
fr;Vague 10 : 8-10 juin;15,9;14,4;17,7;11,4;10,1;12,9;64,5;62,3;66,6;;;
fr;Vague 11 : 22-24 juin;15,1;13,6;16,7;11,2;9,8;12,7;62,3;60,1;64,4;;;
fr;Vague 12 : 6-8 juillet;17,0;15,4;18,8;10,6;9,3;12,1;65,3;63,2;67,5;;;
fr;Vague 13 : 20-22 juillet;17,6;15,9;19,3;11,6;10,3;13,2;64,2;62,0;66,3;;;
fr;Vague 14 : 24-26 aožt;17,5;15,8;19,3;11,7;10,4;13,2;64,6;62,4;66,7;;;
fr;Vague 15 : 21-23 sept.;18,0;16,3;19,9;10,9;9,6;12,5;65,8;63,6;67,9;;;
fr;Vague 16 : 19-21 oct.;19,1;17,4;20,9;15,5;14,0;17,2;64,5;62,3;66,6;;;
fr;Vague 17 : 4-6 nov.;20,8;19,0;22,7;20,6;18,8;22,5;63,1;60,9;65,2;;;
fr;Vague 18 : 23-25 nov.;18,5;16,9;20,4;22,6;20,7;24,5;65,7;63,6;67,8;;;
fr;Vague 19 : 14-16 dec..;20,3;18,5;22,1;20,5;18,8;22,4;66,2;64,1;68,3;;;
fr;Vague 20 : 18-20 janv.;19,2;17,5;21,1;19,5;17,8;21,3;67,0;64,8;69,1;;;
fr;Vague 21 : 15-17 fev.;22,7;20,9;24,6;22,7;20,9;24,6;65,8;63,6;67,9;8,2;7,1;9,6
fr;Vague 22 : 15-17 mars;20,7;19,0;22,6;20,2;18,5;22,1;65,3;63,2;67,4;9,0;7,7;10,4
fr;Vague 23 : 21-23 avril;22,3;20,5;24,2;22,0;20,3;24,0;64,0;61,9;66,2;9,4;8,1;10,8
fr;Vague 24 : 17-19 mai;20,6;18,8;22,5;19,0;17,3;20,9;63,6;61,4;65,7;8,5;7,3;9,8
fr;Vague 25 : 21-28 juin;18,9;17,3;20,8;15,0;13,5;16,7;66,3;64,1;68,4;9,2;8,0;10,6
fr;Vague 26 : 15-21 juillet;19,4;17,7;21,3;12,9;11,4;14,5;59,2;56,9;61,4;9,1;7,8;10,5
fr;Vague 27 : 31 aožt-7 sept.;23,3;21,5;25,2;15,0;13,5;16,6;63,0;60,8;65,1;9,8;8,6;11,2
fr;Vague 28 : 28 sept.-5 oct.;25,9;24,0;27,9;16,3;14,7;18,0;69,8;67,7;71,8;9,7;8,4;11
