,reg,semaine,anxiete,anxiete_inf,anxiete_sup,depression,depression_inf,depression_sup,pbsommeil,pbsommeil_inf,pbsommeil_sup,ps12mois,ps12mois_inf,ps12mois_sup,Libellé,vague,date
0,11,Vague 1 : 23-25 mars,30.1,25.6,35.0,,,,,,,,,,Île-de-France,1,23-25 mars
1,11,Vague 2 : 30 mars-1 avr,19.4,15.6,23.9,20.6,16.7,25.1,63.5,58.4,68.4,,,,Île-de-France,2,30 mars-1 avr
2,11,Vague 3 : 14-16 avr,17.8,14.0,22.2,20.3,16.4,25.0,62.1,56.8,67.1,,,,Île-de-France,3,14-16 avr
3,11,Vague 4 : 20-22 avr,16.7,13.1,21.0,19.2,15.4,23.6,64.6,64.6,69.4,,,,Île-de-France,4,20-22 avr
4,11,Vague 5 : 28-30 avr,21.5,17.4,26.1,21.3,17.3,25.9,69.3,64.3,73.9,,,,Île-de-France,5,28-30 avr
5,11,Vague 6 : 4-6 mai,15.8,12.4,19.9,19.8,16.0,24.3,64.6,59.5,69.4,,,,Île-de-France,6,4-6 mai
6,11,Vague 7 : 13-15 mai,17.8,14.1,22.3,14.4,11.1,18.6,69.1,64.0,73.8,,,,Île-de-France,7,13-15 mai
7,11,Vague 8 : 18-20 mai,15.9,12.5,20.0,13.0,10.0,16.9,61.1,55.9,66.0,,,,Île-de-France,8,18-20 mai
8,11,Vague 9 : 27-29 mai,18.0,14.3,22.4,15.2,11.8,19.4,69.3,64.4,73.9,,,,Île-de-France,9,27-29 mai
9,11,Vague 10 : 8-10 juin,18.8,15.1,23.3,13.9,10.8,17.9,64.9,59.8,69.7,,,,Île-de-France,10, 8-10 juin
10,11,Vague 11 : 22-24 juin,14.4,11.0,18.5,13.6,10.3,17.6,58.3,53.1,63.3,,,,Île-de-France,11, 22-24 juin
11,11,Vague 12 : 6-8 juillet,19.8,16.0,24.3,13.3,10.1,17.4,67.8,62.8,72.5,,,,Île-de-France,12, 6-8 juillet
12,11,Vague 13 : 20-22 juillet,19.1,15.4,23.4,15.5,12.1,19.5,67.4,62.4,72.0,,,,Île-de-France,13, 20-22 juillet
13,11,Vague 14 : 24-26 août,14.9,11.5,19.3,11.2,8.3,15.1,64.7,59.5,69.6,,,,Île-de-France,14, 24-26 août
14,11,Vague 15 : 21-23 sept.,18.4,14.5,23.1,13.0,9.6,17.3,64.3,59.0,69.4,,,,Île-de-France,15, 21-23 sept.
15,11,Vague 16 : 19-21 oct.,16.9,13.3,21.3,20.2,16.2,24.8,65.3,60.2,70.1,,,,Île-de-France,16, 19-21 oct.
16,11,Vague 17 : 4-6 nov.,17.4,13.8,21.8,19.7,15.8,24.3,62.1,56.8,67.1,,,,Île-de-France,17, 4-6 nov.
17,11,Vague 18 : 23-25 nov.,18.4,14.8,22.7,22.7,18.7,27.3,71.3,66.5,75.7,,,,Île-de-France,18, 23-25 nov.
18,11,Vague 19 : 14-16 dec..,16.7,13.2,21.0,21.9,17.8,26.6,66.1,60.9,70.9,,,,Île-de-France,19, 14-16 dec..
19,11,Vague 20 : 18-20 janv.,21.1,17.0,25.9,18.0,14.2,22.5,70.0,64.8,74.7,,,,Île-de-France,20, 18-20 janv.
20,11,Vague 21 : 15-17 fév,24.1,19.8,29.1,20.5,16.5,25.1,66.8,61.6,71.6,8.1,5.6,11.5,Île-de-France,21, 15-17 fév
21,11,Vague 22 : 15-17 mars,21.4,17.5,26.0,19.7,15.9,24.2,66.3,61.3,71.0,8.8,6.2,12.4,Île-de-France,22, 15-17 mars
22,11,Vague 23 : 21-23 avril,26.8,22.3,31.9,22.4,18.3,27.2,66.0,60.8,70.9,8.5,5.8,12.4,Île-de-France,23, 21-23 avril
23,11,Vague 24 : 17-19 mai,21.9,17.7,26.8,18.7,14.8,23.4,62.7,57.3,66.8,8.6,5.9,12.4,Île-de-France,24, 17-19 mai
24,11,Vague 25 : 21-28 juin,20.5,16.5,25.3,17.5,13.8,22.0,72.1,67.1,76.7,8.8,6.2,12.5,Île-de-France,25, 21-28 juin
25,11,Vague 26 : 15-21 juillet,22.5,18.3,27.4,16.0,12.3,20.5,62.2,56.8,67.4,8.5,5.8,12.3,Île-de-France,26, 15-21 juillet
26,11,Vague 27 : 31 août-7 sept.,26.7,22.5,31.4,15.7,12.4,19.7,61.5,56.5,66.2,11.7,8.8,15.3,Île-de-France,27, 31 août-7 sept.
27,11,Vague 28 : 28 sept.-5 oct.,25.6,21.3,30.4,16.7,13.2,21.0,66.9,61.8,71.7,8.1,5.6,11.5,Île-de-France,28, 28 sept.-5 oct.
28,24,Vague 1 : 23-25 mars,24.3,15.7,35.6,,,,,,,,,,Centre-Val de Loire,1,23-25 mars
29,24,Vague 2 : 30 mars-1 avr,22.4,14.4,33.2,27.7,18.8,38.8,61.7,50.4,71.9,,,,Centre-Val de Loire,2,30 mars-1 avr
30,24,Vague 3 : 14-16 avr,22.8,15.0,33.1,18.5,11.6,28.3,67.7,57.0,76.9,,,,Centre-Val de Loire,3,14-16 avr
31,24,Vague 4 : 20-22 avr,16.1,9.6,25.8,23.5,15.6,33.8,71.4,71.4,80.1,,,,Centre-Val de Loire,4,20-22 avr
32,24,Vague 5 : 28-30 avr,18.3,11.5,27.9,12.8,7.2,21.8,67.5,56.9,76.6,,,,Centre-Val de Loire,5,28-30 avr
33,24,Vague 6 : 4-6 mai,12.2,6.9,20.8,18.1,11.4,27.6,68.2,57.8,77.1,,,,Centre-Val de Loire,6,4-6 mai
34,24,Vague 7 : 13-15 mai,16.9,9.7,27.7,12.6,6.6,22.8,74.4,63.7,82.8,,,,Centre-Val de Loire,7,13-15 mai
35,24,Vague 8 : 18-20 mai,16.9,10.2,26.6,8.2,3.9,16.2,59.0,47.9,69.2,,,,Centre-Val de Loire,8,18-20 mai
36,24,Vague 9 : 27-29 mai,13.6,7.6,23.2,10.9,5.7,19.8,75.7,65.4,83.7,,,,Centre-Val de Loire,9,27-29 mai
37,24,Vague 10 : 8-10 juin,13.9,8.0,23.1,8.5,4.1,16.9,71.2,60.7,79.8,,,,Centre-Val de Loire,10, 8-10 juin
38,24,Vague 11 : 22-24 juin,15.6,9.2,25.3,6.1,2.5,13.9,56.0,45.0,66.5,,,,Centre-Val de Loire,11, 22-24 juin
39,24,Vague 12 : 6-8 juillet,19.7,12.3,30.1,8.4,4.2,16.1,64.3,53.6,73.7,,,,Centre-Val de Loire,12, 6-8 juillet
40,24,Vague 13 : 20-22 juillet,11.7,6.4,20.5,11.7,6.3,20.7,68.9,58.0,78.1,,,,Centre-Val de Loire,13, 20-22 juillet
41,24,Vague 14 : 24-26 août,14.6,8.6,23.8,13.4,7.4,23.0,57.5,46.5,67.8,,,,Centre-Val de Loire,14, 24-26 août
42,24,Vague 15 : 21-23 sept.,18.2,11.5,27.7,10.5,5.6,18.6,69.3,58.5,78.3,,,,Centre-Val de Loire,15, 21-23 sept.
43,24,Vague 16 : 19-21 oct.,13.2,7.4,22.6,12.3,6.6,21.8,63.2,52.3,72.9,,,,Centre-Val de Loire,16, 19-21 oct.
44,24,Vague 17 : 4-6 nov.,14.5,8.6,23.5,18.3,11.4,27.9,69.6,59.1,78.4,,,,Centre-Val de Loire,17, 4-6 nov.
45,24,Vague 18 : 23-25 nov.,15.4,9.4,24.1,17.3,10.9,26.3,70.1,59.7,78.7,,,,Centre-Val de Loire,18, 23-25 nov.
46,24,Vague 19 : 14-16 dec..,15.9,9.9,24.5,20.2,13.4,29.3,58.7,48.4,68.3,,,,Centre-Val de Loire,19, 14-16 dec..
