année;Nombre de personnes interrogées;Profils sociodémographiques;Ensemble;Sexe;Homme;Femme;Age;De 18 à 24 ans;De 25 à 34 ans;De 35 à 49 ans;De 50 à 64 ans;65 ans et plus;CSP en 2 classes (avec retraités et chômeurs recodés);CSP +;CSP -;Situation professionnelle;Travail;Etudes;Chômage;Retraite;Inactif;Situation financière perçue;Bonne situation financière;Situation financière juste;Situation financière très difficile;Vit seul;vit_seul_non;vit_seul_oui;Parent d'enfant(s) de 16 ans ou moins;parent_non;parent_oui;Présente un risque de développer une forme grave de COVID-192;risque_covid_non;risque_covid_oui;Antécédents de trouble psychologique;antécédents_non;antécédents_non;Conditions de vie liées à l'épidémie;Condition de travail (population active);En télétravail;En entreprise;Au chômage partiel;En arrêt de travail;Logement avec forte promiscuité;logement_promiscuité_non;logement_promiscuité_oui;Avoir un soutien moral ou affectif;soutien_non;soutien_oui;Avoir ou avoir eu des symptômes de la COVID-19;symptomes_non;symptomes_oui
mars 2020;2001,5;;61,3;;54,2;67,8;;68,5;64,6;68,4;56,5;53,6;;57,7;64;;63,8;63,6;65,9;53,9;65,9;;56,6;63,9;70;;61,6;60,5;;59,2;66,4;;;;;58,2;76,1;;;64;63,2;60,4;69,7;;60,9;66,2;;58;63,6;;59,8;69,2
avril 2020;2003,33;;65,53;;59,10;71,30;;74,63;70,83;67,20;64,47;57,43;;61,73;68,30;;67,20;73,60;73,43;58,20;68,87;;60,70;69,23;74,23;;65,60;65,23;;64,13;69,03;;;;;62,63;79,10;;;67,07;64,20;71,50;68,67;;64,60;75,60;;64,20;66,60;;63,60;74,90
mai 2020;2000,00;;65,60;;59,93;70,75;;72,10;71,83;70,08;63,43;56,28;;61,98;68,48;;68,03;69,43;72,25;56,90;72,73;;60,63;69,28;74,45;;65,83;64,95;;64,10;69,40;;63,70;68,27;;62,23;82,10;;;69,43;66,13;69,60;75,25;;64,95;73,75;;62,28;69,53;;63,60;76,38
juin 2020;2001,00;;63,40;;56,85;69,25;;72,20;67,80;66,75;63,10;53,50;;59,00;66,00;;64,55;71,25;75,35;54,30;73,65;;58,00;67,45;73,15;;63,25;63,85;;62,00;66,85;;60,85;67,50;;59,40;82,15;;;66,60;63,40;65,15;76,60;;62,70;70,60;;60,55;67,40;;60,80;78,45
juillet 2020;2000,00;;64,75;;59,00;69,95;;69,20;73,20;69,65;63,40;53,60;;62,60;65,35;;67,15;65,60;75,55;54,50;74,80;;60,20;67,45;74,15;;64,65;65,20;;62,05;71,00;;63,30;67,15;;60,75;83,95;;;68,85;66,35;74,65;75,30;;63,60;78,00;;61,60;69,30;;62,35;77,90
août 2020;2000;;64,6;;56,6;71,8;;65,9;71,7;69,6;63,2;55,3;;62,5;65,7;;66,9;66;75;55,8;70,6;;58,4;69,5;74,8;;65,3;62;;62,2;70,3;;63,8;65,8;;60,4;84,8;;;60,2;67,6;50,3;75,6;;63,9;72,9;;61,5;69,8;;62,1;76,8
septembre 2020;2000;;65,8;;58,6;72,3;;84,1;70,1;65,1;64,8;57,1;;61,7;68,7;;66,7;79,9;78,7;57,2;69,2;;59,4;70,9;74,8;;65,7;66,1;;65,3;66,8;;63,8;69,1;;61,8;85,1;;;55,3;67,4;58,5;82,1;;65,6;68,7;;63,7;69;;63,2;76,4
octobre 2020;2001;;64,5;;58;70,3;;66,4;70,6;66,3;65,5;56,7;;62,3;65,4;;66,6;65,5;70,7;56,5;72,7;;55,9;70,6;76,9;*;65,8;60,1;;62,8;68,7;;62,8;67,5;;60,7;81,2;;;67,5;65,8;75,7;79,1;;64,4;65,7;;62,9;66,9;;61,3;78,7
novembre 2020;2000;;64,4;;57,45;70,75;;69,9;71,7;68,8;63,55;53,5;;60,3;67,5;;66,6;72,65;74,8;54,45;72,1;;58;68,65;73,6;;64,5;63,95;;62,35;69,2;;64,95;63,4;;60,85;81,9;;;64,7;66;71,5;76,4;;63,9;69,9;;62,45;66,2;;63,8;73
décembre 2020;2000;;66,2;;58,7;73,1;*;72,6;70,1;66,8;65,5;61;;64,4;67,6;;68,8;72,9;69,9;59,1;66,4;;60,5;73,3;73;;66,5;64,9;*;64,7;69,6;;65,8;66,9;;63;81,3;;;71,1;67,1;66,9;91,2;;66;68,5;;66,4;65,9;;63,6;77,5
