,année,Nombre de personnes interrogées,Profils sociodémographiques,Ensemble,Sexe,Homme,Femme,Age,De 18 à 24 ans,De 25 à 34 ans,De 35 à 49 ans,De 50 à 64 ans,65 ans et plus,CSP en 2 classes (avec retraités et chômeurs recodés),CSP +,CSP -,Situation professionnelle,Travail,Etudes,Chômage,Retraite,Inactif,Situation financière perçue,Bonne situation financière,Situation financière juste,Situation financière très difficile,Vit seul,vit_seul_non,vit_seul_oui,Parent d'enfant(s) de 16 ans ou moins,parent_non,parent_oui,Présente un risque de développer une forme grave de COVID-192,risque_covid_non,risque_covid_oui,Antécédents de trouble psychologique,antécédents_non,antécédents_non.1,Conditions de vie liées à l'épidémie,Condition de travail (population active),En télétravail,En entreprise,Au chômage partiel,En arrêt de travail,Logement avec forte promiscuité,logement_promiscuité_non,logement_promiscuité_oui,Avoir un soutien moral ou affectif,soutien_non,soutien_oui,Avoir ou avoir eu des symptômes de la COVID-19,symptomes_non,symptomes_oui
0,mars 2020,2001.5,,24.1,,18.95,28.8,,27.8,31.7,28.5,19.9,17.35,,20.25,28.25,,26.5,21.7,30.8,17.2,28.65,,18.8,27.65,33.5,,24.9,21.4,,20.95,31.95,,,,,18.3,36.7,,,26.15,26.1,22.0,33.65,,23.4,32.95,,23.9,24.35,,21.9,35.2
1,avril 2020,2003.33,,18.37,,14.23,22.13,,26.27,20.5,20.9,15.3,14.13,,14.13,20.83,,18.27,25.37,23.7,13.47,28.77,,13.07,20.63,30.6,,18.33,18.63,,16.73,22.47,,,,,15.4,32.6,,,17.9,17.67,17.7,21.67,,17.5,28.47,,17.57,19.0,,16.4,28.07
2,mai 2020,2000.0,,17.35,,14.28,20.13,,22.3,20.78,21.2,14.15,12.28,,14.68,19.2,,18.65,20.48,21.58,11.88,22.63,,11.6,20.3,29.4,,17.25,17.7,,15.8,21.15,,16.87,17.23,,14.3,32.28,,,16.88,18.33,20.0,25.9,,16.6,26.35,,15.7,19.35,,16.0,24.45
3,juin 2020,2001.0,,15.5,,13.5,17.35,,21.45,18.9,19.0,13.25,9.4,,13.25,16.75,,16.95,21.75,20.45,9.4,20.4,,10.45,17.9,26.9,,16.05,13.65,,13.1,21.55,,15.15,16.15,,12.05,32.05,,,16.4,16.25,17.9,29.7,,14.65,24.6,,13.25,18.7,,13.85,25.1
4,juillet 2020,2000.0,,17.3,,12.05,22.05,,26.45,23.1,19.5,14.7,9.95,,14.4,18.9,,18.6,20.55,23.5,10.5,25.5,,12.0,20.25,28.5,,17.7,15.7,,15.05,22.6,,16.8,18.15,,13.7,34.55,,,23.45,17.8,20.5,21.4,,16.15,30.1,,14.65,21.2,,15.65,26.5
5,août 2020,2000.0,,17.5,,13.4,21.2,,25.2,22.9,20.5,14.5,10.7,,15.4,18.2,,19.3,23.0,18.0,10.9,26.0,,11.6,19.4,31.2,,17.4,18.0,,16.7,19.3,,17.1,18.1,,14.0,34.3,,,20.6,19.2,17.4,19.4,,16.8,26.1,,15.6,20.7,,14.6,32.0
6,septembre 2020,2000.0,,18.0,,14.8,21.0,,28.0,27.7,19.8,15.0,8.7,,15.4,19.2,,20.0,24.3,27.4,8.7,25.0,,11.5,20.5,31.1,,18.2,17.1,,16.3,21.8,,17.2,19.4,,13.8,38.9,,,28.5,19.5,23.9,10.1,,17.5,25.0,,15.6,21.7,,15.2,29.7
7,octobre 2020,2001.0,,19.1,,14.9,22.9,,22.3,26.3,24.7,15.4,11.0,,16.8,21.0,,22.5,23.9,19.0,11.0,22.8,,12.3,18.4,37.3,,19.9,16.4,,15.8,27.0,,18.2,20.7,,15.0,37.0,,,25.2,21.5,25.9,36.2,,18.6,25.5,,17.9,20.9,,16.4,31.2
8,novembre 2020,2000.0,,19.65,,15.1,23.85,,27.65,26.65,21.75,17.9,11.35,,15.1,23.15,,21.2,24.5,25.35,12.45,27.85,,13.7,20.7,32.6,,20.0,18.7,,18.0,23.55,,19.35,20.25,,16.65,34.6,,,14.75,22.9,22.35,17.35,,18.65,30.95,,20.7,18.65,,17.1,24.3
9,décembre 2020,2000.0,,20.2,,14.6,25.4,,33.0,21.7,24.0,16.6,13.7,,16.8,22.6,,21.7,28.6,29.5,12.8,23.4,,14.7,22.3,33.6,,20.8,18.3,,18.3,24.6,,20.7,19.4,,16.8,36.3,,,24.9,20.2,17.7,37.4,,19.5,28.0,,19.1,21.8,,17.7,31.3
