,année,Nombre de personnes interrogées,Profils sociodémographiques,Ensemble,Sexe,Homme,Femme,Age,De 18 à 24 ans,De 25 à 34 ans,De 35 à 49 ans,De 50 à 64 ans,65 ans et plus,CSP en 2 classes (avec retraités et chômeurs recodés),CSP +,CSP -,Situation professionnelle,Travail,Etudes,Chômage,Retraite ,Inactif,Situation financière perçue,Bonne situation financière,Situation financière juste,Situation financière très difficile,Vit seul,vit_seul_non,vit_seul_oui,Parent d'enfant(s) de 16 ans ou moins,parent_non,parent_oui,Présente un risque de développer une forme grave de COVID-192,risque_covid_non,risque_covid_oui,Antécédents de trouble psychologique,antécédents_non,antécédents_non.1,Conditions de vie liées à l'épidémie,Condition de travail (population active),En télétravail,En entreprise,Au chômage partiel,En arrêt de travail,Logement avec forte promiscuité,logement_promiscuité_non,logement_promiscuité_oui,Avoir un soutien moral ou affectif,soutien_non,soutien_oui,Avoir ou avoir eu des symptômes de la COVID-19,symptomes_non,symptomes_oui
0,mars 2020,2001.5,,19.9,,18.5,21.1,,16.5,23.5,23.7,19.5,15.3,,17.2,22.4,,20.6,20.1,28.2,15.9,22.6,,12.9,20.9,36.9,,19.2,22.1,,19.1,21.9,,11.53333333,14.43333333,,18.8,25.0,,,17.9,18.9,21.5,27.5,,19.2,27.9,,22.8,17.8,,18.4,27.5
1,avril 2020,2003.333333,,19.1,,16.96666667,21.06666667,,24.5,20.96666667,20.63333333,18.76666667,14.33333333,,15.2,21.2,,18.4,21.4,30.5,14.2,31.23333333,,12.6,23.3,32.2,,18.23333333,22.26666667,,18.6,20.4,,10.4,12.65,,17.8,25.46666667,,,17.4,16.33333333,22.03333333,20.66666667,,17.93333333,32.2,,22.9,16.03333333,,18.13333333,24.0
2,mai 2020,2000.0,,14.275,,12.875,15.475,,17.7,14.675,17.275,13.825,9.775,,11.825,15.925,,15.275,14.65,18.975,9.6,19.9,,9.575,16.425,24.525,,13.75,16.05,,13.225,16.825,,10.55,12.0,,12.525,22.825,,,16.5,13.125,20.675,19.1,,13.55,22.9,,16.275,12.25,,13.5,18.175
3,juin 2020,2001.0,,11.3,,10.35,12.1,,12.35,14.05,14.05,10.2,7.2,,7.75,14.55,,11.35,12.0,19.55,7.5,16.25,,6.85,11.95,23.3,,11.25,11.35,,9.85,14.8,,10.5,13.7,,9.6,19.15,,,12.15,10.2,18.9,20,,10.75,17.2,,12.1,10.1,,10.5,15.85
4,juillet 2020,2000.0,,11.15,,10.4,11.8,,12.4,13.55,13.4,11.3,6.4,,9.35,11.95,,11.3,12.65,17.1,7.25,17.5,,6.9,13.25,20.45,,10.8,12.3,,10.35,12.9,,9.0,14.2,,9.15,20.55,,,14,10.45,20.45,16.6,,10.25,21.1,,11.75,10.2,,10.8,12.7
5,août 2020,2000.0,,11.7,,10.5,12.9,,5.9,13.1,14.1,13.4,9.0,,11.4,11.9,,12.1,7.6,19.1,8.6,16.6,,7.7,12.7,21.5,,11.2,13.6,,11.6,12.1,,14.4,17.6,,9.8,20.9,,,10.8,11.7,21.1,22.1,,11.6,13.6,,12.4,10.5,,11.1,14.8
6,sept. 2020,2000.0,,10.9,,10.7,11.2,,13.2,9.8,11.0,14.8,6.6,,8.4,13.1,,10.9,8.6,21.1,7.5,13.8,,5.9,12.9,21.1,,10.6,12.3,,11.1,10.6,,21.55,21.65,,8.0,25.4,,,12.3,10.5,5.4,15.5,,10.9,12.0,,12.7,8.2,,10.1,14.4
7,oct. 2020,2001.0,,15.5,,13.0,17.9,,18.6,20.2,18.8,14.1,9.2,,14.4,15.6,,16.8,16.1,22.4,9.1,24.1,,8.8,16.6,30.8,,16.6,12.1,,13.2,21.2,,20.6,20.3,,12.8,27.8,,,20.6,15.2,26.4,37.7,,14.8,25.8,,16.7,13.9,,13.2,25.9
8,novembre 2020,2000.0,,21.6,,18.7,24.2,,30.25,26.15,23.55,19.8,14.65,,16.6,24.95,,21.85,33.85,30.3,14.75,28.95,,14.5,22.95,36.75,,20.55,25.55,,21.15,22.5,,18.8,20.7,,19.65,30.8,,,18.85,21.95,25.6,27.2,,20.95,28.35,,25.65,17.75,,21.9,25.1
9,dec. 2020,2000.0,,20.5,,16.5,24.2,,25.0,22.5,23.5,21.1,13.5,,16.4,22.7,,21.5,26.4,25.4,13.5,31.5,,16.1,19.2,35.4,,20.5,20.5,,18.8,24.3,,20.6,26.5,,18.3,30.9,,,23.4,20.1,26.3,37.4,,19.7,28.4,,22.5,17.9,,19.8,23.4
10,janv. 2021,2000.0,,19.5,,18.0,20.8,,21.4,23.2,20.0,18.5,16.6,,16.9,21.3,,18.6,23.4,25.7,17.3,25.5,,12.7,19.7,36.2,,18.9,21.6,,18.5,21.9,,19.0,22.6,,17.8,26.1,,,20.5,17.1,26.3,29.5,,18.7,28.6,,21.9,17.4,,18.7,22.5
11,fév. 2021,2000.0,,22.7,,21.6,23.7,,31.5,23.6,22.2,21.9,19.5,,19.1,24.9,,21.8,43.2,36.1,18.5,21.7,,16.2,25.5,34.3,,22.1,24.5,,22.0,24.2,,21.4,23.4,,20.2,32.5,,,22.5,21.7,18.8,25.9,,21.8,32.9,,26.0,19.5,,21.6,27.2
12,mars 2021,2001.0,,20.2,,18.4,21.8,,25.9,24.6,22.0,19.2,14.1,,17.1,21.1,,20.0,23.6,30.0,14.2,34.4,,13.7,22.0,35.3,,20.2,20.3,,19.9,20.9,,17.8,21.4,,19.1,24.9,,,20.6,19.4,25,27,,19.8,26.1,,24.3,16.6,,19.3,24.3
13,avril 2021,2001.0,,22.0,,19.6,24.3,,25.8,23.6,25.3,21.7,16.3,,17.9,26.0,,23.6,27.0,26.6,16.0,26.9,,14.4,27.1,37.3,,22.0,22.2,,20.6,25.9,,13.2,18.2,,20.6,28.3,,,24.8,23.2,20.7,29.2,,21.5,28.7,,23.6,20.6,,21.0,26.0
14,mai 2021,2000.0,,19.0,,15.4,22.3,,26.1,22.4,22.2,17.6,11.9,,15.5,20.2,,19.5,29.9,26.1,12.5,29.2,,13.6,18.6,36.7,,19.3,18.0,,17.5,22.6,,12.8,12.9,,16.5,29.6,,,17.4,18.7,32,35.8,,17.8,32.6,,21.9,15.9,,18.6,20.6
