année;Nombre de personnes interrogées;Profils sociodémographiques;Ensemble;Sexe;Homme;Femme;Age;De 18 à 24 ans;De 25 à 34 ans;De 35 à 49 ans;De 50 à 64 ans;65 ans et plus;CSP en 2 classes (avec retraités et chômeurs recodés);CSP +;CSP -;Situation professionnelle;Travail;Etudes;Chômage;Retraite;Inactif;Situation financière perçue;Bonne situation financière;Situation financière juste;Situation financière très difficile;Vit seul;vit_seul_non;vit_seul_oui;Parent d'enfant(s) de 16 ans ou moins;parent_non;parent_oui;Présente un risque de développer une forme grave de COVID-192;risque_covid_non;risque_covid_oui;Antécédents de trouble psychologique;antécédents_non;antécédents_non;Conditions de vie liées à l'épidémie;Condition de travail (population active);En télétravail;En entreprise;Au chômage partiel;En arrêt de travail;Logement avec forte promiscuité;logement_promiscuité_non;logement_promiscuité_oui;Avoir un soutien moral ou affectif;soutien_non;soutien_oui;Avoir ou avoir eu des symptômes de la COVID-19;symptomes_non;symptomes_oui
mars 2020;2001,50;;24,10;;18,95;28,80;;27,80;31,70;28,50;19,90;17,35;;20,25;28,25;;26,50;21,70;30,80;17,20;28,65;;18,80;27,65;33,50;;24,90;21,40;;20,95;31,95;;;;;18,30;36,70;;;26,15;26,10;22,00;33,65;;23,40;32,95;;23,90;24,35;;21,90;35,20
avril 2020;2003,33;;18,37;;14,23;22,13;;26,27;20,50;20,90;15,30;14,13;;14,13;20,83;;18,27;25,37;23,70;13,47;28,77;;13,07;20,63;30,60;;18,33;18,63;;16,73;22,47;;;;;15,40;32,60;;;17,90;17,67;17,70;21,67;;17,50;28,47;;17,57;19,00;;16,40;28,07
mai 2020;2000,00;;17,35;;14,28;20,13;;22,30;20,78;21,20;14,15;12,28;;14,68;19,20;;18,65;20,48;21,58;11,88;22,63;;11,60;20,30;29,40;;17,25;17,70;;15,80;21,15;;16,87;17,23;;14,30;32,28;;;16,88;18,33;20,00;25,90;;16,60;26,35;;15,70;19,35;;16,00;24,45
juin 2020;2001,00;;15,50;;13,50;17,35;;21,45;18,90;19,00;13,25;9,40;;13,25;16,75;;16,95;21,75;20,45;9,40;20,40;;10,45;17,90;26,90;;16,05;13,65;;13,10;21,55;;15,15;16,15;;12,05;32,05;;;16,40;16,25;17,90;29,70;;14,65;24,60;;13,25;18,70;;13,85;25,10
juillet 2020;2000,00;;17,30;;12,05;22,05;;26,45;23,10;19,50;14,70;9,95;;14,40;18,90;;18,60;20,55;23,50;10,50;25,50;;12,00;20,25;28,50;;17,70;15,70;;15,05;22,60;;16,80;18,15;;13,70;34,55;;;23,45;17,80;20,50;21,40;;16,15;30,10;;14,65;21,20;;15,65;26,50
août 2020;2000,00;;17,50;;13,40;21,20;;25,20;22,90;20,50;14,50;10,70;;15,40;18,20;;19,30;23,00;18,00;10,90;26,00;;11,60;19,40;31,20;;17,40;18,00;;16,70;19,30;;17,10;18,10;;14,00;34,30;;;20,60;19,20;17,40;19,40;;16,80;26,10;;15,60;20,70;;14,60;32,00
septembre 2020;2000,00;;18,00;;14,80;21,00;;28,00;27,70;19,80;15,00;8,70;;15,40;19,20;;20,00;24,30;27,40;8,70;25,00;;11,50;20,50;31,10;;18,20;17,10;;16,30;21,80;;17,20;19,40;;13,80;38,90;;;28,50;19,50;23,90;10,10;;17,50;25,00;;15,60;21,70;;15,20;29,70
octobre 2020;2001,00;;19,10;;14,90;22,90;;22,30;26,30;24,70;15,40;11,00;;16,80;21,00;;22,50;23,90;19,00;11,00;22,80;;12,30;18,40;37,30;;19,90;16,40;;15,80;27,00;;18,20;20,70;;15,00;37,00;;;25,20;21,50;25,90;36,20;;18,60;25,50;;17,90;20,90;;16,40;31,20
novembre 2020;2000,00;;19,65;;15,10;23,85;;27,65;26,65;21,75;17,90;11,35;;15,10;23,15;;21,20;24,50;25,35;12,45;27,85;;13,70;20,70;32,60;;20,00;18,70;;18,00;23,55;;19,35;20,25;;16,65;34,60;;;14,75;22,90;22,35;17,35;;18,65;30,95;;20,70;18,65;;17,10;24,30
décembre 2020;2000,00;;20,20;;14,60;25,40;;33,00;21,70;24,00;16,60;13,70;;16,80;22,60;;21,70;28,60;29,50;12,80;23,40;;14,70;22,30;33,60;;20,80;18,30;;18,30;24,60;;20,70;19,40;;16,80;36,30;;;24,90;20,20;17,70;37,40;;19,50;28,00;;19,10;21,80;;17,70;31,30
