sexe;semaine;anxiete;anxiete_inf;anxiete_sup;depression;depression_inf;depression_sup;pbsommeil;pbsommeil_inf;pbsommeil_sup;ps12mois;ps12mois_inf;ps12mois_sup
Homme;Vague 1 : 23-25 mars;21,3;18,9;24,1;;;;;;;;;
Femme;Vague 1 : 23-25 mars;31,6;28,9;34,5;;;;;;;;;
Homme;Vague 2 : 30 mars-1 avr;16,6;14,4;19,1;18,5;16,2;21,1;54,2;51,0;57,4;;;
Femme;Vague 2 : 30 mars-1 avr;26,0;23,4;28,7;21,1;18,7;23,7;67,8;64,8;70,6;;;
Homme;Vague 3 : 14-16 avr;14,4;12,3;16,8;15,3;13,1;17,7;57,2;54,0;60,3;;;
Femme;Vague 3 : 14-16 avr;21,5;19,1;24,1;19,7;17,4;22,3;69,5;66,7;72,3;;;
Homme;Vague 4 : 20-22 avr;13,6;11,5;16,0;17,6;15,3;20,2;60,6;57,5;63,7;;;
Femme;Vague 4 : 20-22 avr;23,7;21,2;26,4;23,0;20,5;25,6;72,4;69,6;75,1;;;
Homme;Vague 5 : 28-30 avr;14,7;12,5;17,3;18,0;15,5;20,7;59,5;56,3;62,7;;;
Femme;Vague 5 : 28-30 avr;21,2;18,8;23,8;20,5;18,2;23,1;72,0;69,2;74,6;;;
Homme;Vague 6 : 4-6 mai;15,1;12,9;17,6;15,7;13,5;18,2;60,4;57,2;63,5;;;
Femme;Vague 6 : 4-6 mai;21,4;19,9;24,0;21,2;18,8;23,8;71,6;68,7;74,2;;;
Homme;Vague 7 : 13-15 mai;15,7;13,4;18,3;13,4;11,3;15,9;63,0;59,8;66,2;;;
Femme;Vague 7 : 13-15 mai;19,3;17,2;21,9;14,7;12,7;17,0;71,0;68,1;73,7;;;
Homme;Vague 8 : 18-20 mai;12,9;10,8;15,3;10,2;8,4;12,4;56,0;52,7;59,2;;;
Femme;Vague 8 : 18-20 mai;20,5;18,2;23,1;13,7;11,8;15,9;69,0;66,2;71,8;;;
Homme;Vague 9 : 27-29 mai;13,4;11,3;15,8;12,2;10,2;14,6;60,3;57,1;63,5;;;
Femme;Vague 9 : 27-29 mai;19,3;17,0;21,9;12,3;10,5;14,5;71,5;68,7;74,2;;;
Homme;Vague 10 : 8-10 juin;14,8;12,6;17,2;9,8;8,1;11,9;58,1;54,9;61,3;;;
Femme;Vague 10 : 8-10 juin;17,0;14,8;19,4;12,8;10,9;15,0;70,3;67,4;73,0;;;
Homme;Vague 11 : 22-24 juin;12,2;10,2;14,6;10,9;9,0;13,1;55,6;52,3;58,9;;;
Femme;Vague 11 : 22-24 juin;17,7;15,5;20,1;11,4;9,6;13,5;68,3;65,5;71,1;;;
Homme;Vague 12 : 6-8 juillet;11,7;9,7;14,0;9,4;7,6;11,5;59,1;55,8;62,3;;;
Femme;Vague 12 : 6-8 juillet;21,9;19,4;24,6;11,7;9,9;13,8;71,0;68,2;73,7;;;
Homme;Vague 13 : 20-22 juillet;12,4;10,4;14,7;11,4;9,5;13,7;58,9;55,7;62,1;;;
